"Fighter","Opponent","Date","Country","WT_Class","Height","Weight","Birthdate","Team","Nickname","Stance","Reach","Decision","Rnd","Time","Event","Res","SDBL","SDB_A","SDHL","SDH_A","SDLL","SDL_A","TSL","TS_A","SSL","SS_A","X.Total_Strikes","KD","X.BODY","X.HEAD","X.LEG","SCBL","SCB_A","SCHL","SCH_A","SCLL","SCL_A","RV","SR","TDL","TD_A","TDS","X.TK_ACC","SGBL","SGB_A","SGHL","SGH_A","SGLL","SGL_A","AD","ADTB","ADHG","ADTM","ADTS","SM","Southpaw_Stance","Orthodox_Stance","Switch_Stance","Time_Seconds","Total_Fight_Time_Seconds","Decision_Unanimous","KO_TKO","Submission","Decision_Split","No_Contest","Draw","Decision_Majority","TKO_Doctors_Stoppage","Africa","Asia","Europe","North_America","South_America","Oceania","X.Significant_Strikes","X.Clinch_Body_Strikes","X.Clinch_Head_Strikes","X.Clinch_Leg_Strikes","X.Ground_Body_Strikes","X.Ground_Head_Strikes","X.Ground_Leg_Strikes","Results","Continent"
"Song Kenan","Hector Aldana",2020-01-25,"China","Welterweight",72,170,1985-01-12,"Kill Cliff FC","The Assassin","Orthodox",71,"KO/TKO",2,"4:45","UFC Fight Night: Cowboy vs. Edwards","W",3,5,12,45,12,14,34,76,32,71,44,1,60,33,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,1,0,285,585,0,1,0,0,0,0,0,0,0,1,0,0,0,0,45,0,0,0,0,71,0,1,"Asia"
"Matt Schnell","Naoki Inoue",2021-02-20,"USA","Flyweight",68,125,1993-04-11,"American Top Team","Danger","Orthodox",70,"Decision - Split",3,"5:00","UFC Fight Night: Cowboy vs. Edwards","W",4,11,41,136,23,30,79,192,71,183,41,0,42,30,77,1,1,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,900,0,0,0,1,0,0,0,0,0,0,0,1,0,0,38,100,40,0,0,0,0,1,"North America"
"Mackenzie Dern","Randa Markos",2021-02-20,"USA","Women's Featherweight",64,115,1991-02-18,"RVCA","","Orthodox",63,"Submission",1,"3:44","UFC Fight Night: Covington vs. Woodley","W",0,0,6,13,2,2,31,44,12,22,70,0,0,50,100,0,0,0,1,0,0,0,0,1,2,0,50,0,0,4,6,0,0,0,0,0,0,1,1,0,1,0,224,224,0,0,1,0,0,0,0,0,0,0,0,1,0,0,54,0,0,0,0,66,0,1,"North America"
"Damon Jackson","Mirsad Bektic",2021-02-20,"USA","Featherweight",71,146,1995-01-24,"Fortis MMA","The Leech","Switch",71,"Submission",3,"1:21","UFC Fight Night: Covington vs. Woodley","W",12,24,17,34,6,10,35,70,24,48,50,0,50,50,50,4,8,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,681,0,0,1,0,0,0,0,0,0,0,0,1,0,0,50,50,50,0,0,0,0,1,"North America"
"Gerald Meerschaert","Khamzat Chimaev",2021-02-20,"USA","Middleweight",73,185,1989-11-11,"Roufusport","GM3","Orthodox",77,"KO/TKO",1,"0:17","UFC Fight Night: Covington vs. Woodley","L",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,17,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"North America"
"Gerald Meerschaert","Trevin Giles",2021-02-20,"USA","Middleweight",73,185,1997-10-07,"Roufusport","GM3","Orthodox",77,"Submission",3,"1:49","UFC Fight Night: Covington vs. Lawler","W",2,2,1,10,1,10,31,55,6,19,56,0,100,19,100,0,0,0,0,0,0,0,0,1,3,0,33,0,0,2,6,0,0,2,0,4,1,0,1,0,1,0,109,709,0,0,1,0,0,0,0,0,0,0,0,1,0,0,31,0,0,0,0,33,0,1,"North America"
"Matt Schnell","Jordan Espinosa",2021-02-20,"USA","Flyweight",68,125,1987-11-19,"American Top Team","Danger","Orthodox",70,"Submission",1,"1:23","UFC Fight Night: Covington vs. Lawler","W",0,0,2,11,1,1,3,12,3,12,25,0,25,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,83,83,0,0,1,0,0,0,0,0,0,0,0,1,0,0,25,0,0,0,0,0,0,1,"North America"
"Gregory Rodrigues","JunYong Park",2018-11-24,"Brazil","Middleweight",75,185,1991-02-18,"Kill Cliff FC","Robocop","Orthodox",75,"KO/TKO",2,"3:13","UFC Fight Night: Costa vs. Vettori","W",15,16,42,60,0,1,75,98,68,90,76,0,94,73,0,0,0,3,3,0,0,1,0,2,4,0,50,0,0,8,10,0,0,0,0,0,0,0,0,0,1,0,193,493,0,1,0,0,0,0,0,0,0,0,0,0,1,0,75,0,100,0,0,80,0,1,"South America"
"Arnold Allen","Sodiq Yusuff",2018-11-24,"England","Featherweight",68,145,1988-03-20,"BKK Fighters","Almighty","Southpaw",70,"Decision - Unanimous",3,"5:00","UFC Fight Night: Costa vs. Vettori","W",3,4,13,48,0,0,26,68,21,61,38,1,86,28,0,2,2,2,3,0,0,0,0,2,5,0,40,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,300,900,1,0,0,0,0,0,0,0,0,0,1,0,0,0,34,100,66,0,100,0,0,1,"Europe"
"Arnold Allen","Gilbert Melendez",2018-11-24,"England","Featherweight",68,145,1990-03-10,"BKK Fighters","Almighty","Southpaw",70,"Decision - Unanimous",3,"5:00","UFC Fight Night: Costa vs. Vettori","W",26,28,62,143,14,19,102,191,102,190,53,0,93,43,74,0,0,0,0,0,0,0,0,1,2,0,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,300,900,1,0,0,0,0,0,0,0,0,0,1,0,0,0,53,0,0,0,0,0,0,1,"Europe"
"Arnold Allen","Makwan Amirkhani",2020-06-20,"England","Featherweight",68,145,1988-07-09,"BKK Fighters","Almighty","Southpaw",70,"Decision - Unanimous",3,"5:00","UFC Fight Night: Costa vs. Vettori","W",2,4,14,42,0,2,75,118,32,74,63,0,62,42,0,1,2,1,5,0,0,0,0,3,6,1,50,2,2,12,17,0,0,6,1,3,2,0,1,1,0,0,300,900,1,0,0,0,0,0,0,0,0,0,1,0,0,0,43,50,20,0,100,70,0,1,"Europe"
"Jai Herbert","Khama Worthy",2020-06-20,"England","Lightweight",73,155,1991-02-18,"Renegade MMA","Black Country Banger","Orthodox",77,"KO/TKO",1,"2:47","UFC Fight Night: Costa vs. Vettori","W",1,1,16,33,2,5,25,47,24,46,53,1,100,52,40,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,1,0,167,167,0,1,0,0,0,0,0,0,0,0,1,0,0,0,52,0,100,0,0,60,0,1,"Europe"
"Ricky Glenn","Grant Dawson",2020-06-20,"USA","Welterweight",72,155,1986-09-09,"Absolute Mixed Martial Arts","The Gladiator","Southpaw",70,"Draw",3,"5:00","UFC Fight Night: Costa vs. Vettori","D",4,9,2,7,2,3,88,104,28,41,84,0,58,73,67,1,1,0,0,0,0,0,0,0,0,0,0,2,2,17,19,0,0,0,0,0,0,0,1,1,0,0,300,900,0,0,0,0,0,1,0,0,0,0,0,1,0,0,68,100,0,0,100,89,0,0,"North America"
"Tabatha Ricci","Maria Oliveira",2018-05-27,"Brazil","Strawweight",61,115,1994-01-22,"Paragon BJJ","Baby Shark","Orthodox",62,"Decision - Unanimous",3,"5:00","UFC Fight Night: Costa vs. Vettori","W",8,12,13,76,8,10,103,187,62,135,55,0,75,38,80,4,4,1,1,0,0,0,0,5,11,0,46,0,0,28,32,0,0,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,0,0,1,0,45,100,100,0,0,87,0,1,"South America"
"Elves Brener","Esteban Ribovics",2022-10-29,"Brazil","Lightweight",69,155,1992-10-15,"Team Nogueira","Elfen","Orthodox",73,"Decision - Unanimous",3,"5:00","UFC Fight Night: Costa vs. Cannonier","W",5,10,15,49,15,16,79,125,48,91,63,0,58,39,94,2,2,0,1,0,0,2,0,3,6,0,50,0,0,9,11,2,2,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,0,0,1,0,52,100,0,0,0,81,100,1,"South America"
"Damon Jackson","Rony Jason",2015-06-06,"USA","Featherweight",71,146,1991-02-21,"Fortis MMA","The Leech","Switch",71,"No Contest",1,"3:31","UFC Fight Night: Condit vs. Alves","D",13,26,20,40,6,10,39,78,26,52,50,0,50,50,50,4,8,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,211,211,0,0,0,0,1,0,0,0,0,0,0,1,0,0,50,50,50,0,0,0,0,0,"North America"
"Umar Nurmagomedov","Sergey Morozov",2014-05-10,"Russia","Bantamweight",68,135,1987-08-03,"AKA (American Kickboxing Academy)","","Orthodox",69,"Submission",2,"3:39","UFC Fight Night: Chiesa vs. Magny","W",3,8,8,19,7,7,32,48,25,41,66,0,44,56,100,1,1,5,5,0,0,0,0,5,11,0,46,0,0,1,1,0,0,4,4,0,0,0,1,0,1,0,219,519,0,0,1,0,0,0,0,0,0,1,0,0,0,0,60,100,100,0,0,100,0,1,"Asia"
"Michael Chiesa","Neil Magny",2021-03-20,"USA","Welterweight",73,170,1993-03-16,"Sikjitsu","Maverick","Southpaw",75,"Decision - Unanimous",5,"5:00","UFC Fight Night: Chiesa vs. Magny","W",0,0,4,12,0,0,6,16,4,12,37,0,0,33,0,0,0,0,0,0,0,0,100,1,1,0,100,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,300,1500,1,0,0,0,0,0,0,0,0,0,0,1,0,0,33,0,0,0,0,0,0,1,"North America"
"Neil Magny","Michael Chiesa",2021-03-20,"USA","Welterweight",75,170,1990-03-10,"Elevation Fight Team","The Haitian Sensation","Orthodox",80,"Decision - Unanimous",5,"5:00","UFC Fight Night: Chiesa vs. Magny","L",2,4,6,40,0,1,52,96,12,50,54,0,71,17,0,3,3,1,2,0,0,0,0,1,3,0,33,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,300,1500,1,0,0,0,0,0,0,0,0,0,0,1,0,0,24,100,50,0,0,0,0,0,"North America"
"Matt Schnell","Tyson Nam",2017-10-28,"USA","Flyweight",68,125,1992-12-02,"American Top Team","Danger","Orthodox",70,"Decision - Split",3,"5:00","UFC Fight Night: Chiesa vs. Magny","W",9,11,68,194,6,7,85,214,85,214,39,0,83,35,86,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,900,0,0,0,1,0,0,0,0,0,0,0,1,0,0,39,100,100,0,0,0,0,1,"North America"
"Michael Chiesa","Kevin Lee",2017-10-28,"USA","Welterweight",73,170,1987-12-18,"Sikjitsu","Maverick","Southpaw",75,"Submission",1,"4:37","UFC Fight Night: Chiesa vs. Lee","L",5,5,2,14,1,2,19,35,12,26,54,0,100,24,50,2,2,1,1,0,0,0,33,2,6,1,33,0,0,1,2,0,0,1,0,1,0,0,0,1,0,0,277,277,0,0,1,0,0,0,0,0,0,0,0,1,0,0,46,100,100,0,0,50,0,0,"North America"
"Belal Muhammad","Geoff Neal",2020-08-01,"Palestine","Welterweight",71,169,1986-09-09,"Valle Flow Striking","Remember the Name","Orthodox",72,"Decision - Unanimous",3,"5:00","UFC Fight Night: Cejudo vs. Dillashaw","L",17,32,36,154,6,7,64,205,63,204,31,0,53,24,86,1,2,3,9,0,0,0,0,0,7,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,1,0,0,0,0,30,50,33,0,50,100,0,0,"Asia"
"Cory Sandhagen","Mario Bautista",2020-08-01,"USA","Bantamweight",71,136,1991-04-22,"Elevation Fight Team","","Switch",70,"Submission",1,"3:31","UFC Fight Night: Cejudo vs. Dillashaw","W",2,3,5,36,6,8,17,55,17,54,30,1,67,21,75,0,0,0,0,0,0,0,0,1,2,0,50,0,0,4,7,0,0,0,0,0,0,0,2,0,0,1,211,211,0,0,1,0,0,0,0,0,0,0,0,1,0,0,31,0,0,0,0,57,0,1,"North America"
"Alonzo Menifield","Vinicius Moreira",2020-08-01,"USA","Light Heavyweight",72,205,1997-11-20,"Fortis MMA","Atomic","Orthodox",76,"KO/TKO",1,"3:56","UFC Fight Night: Cejudo vs. Dillashaw","W",0,0,23,45,1,1,35,62,33,60,56,1,0,54,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,0,0,0,0,0,0,0,0,0,1,0,236,236,0,1,0,0,0,0,0,0,0,0,0,1,0,0,55,0,0,0,0,64,0,1,"North America"
"Bobby Green","Drew Dober",2021-09-04,"USA","Lightweight",70,154,1993-04-11,"Icon MMA","King","Orthodox",71,"KO/TKO",2,"2:45","UFC Fight Night: Cannonier vs. Strickland","L",17,22,49,112,6,7,75,145,73,142,51,0,77,44,86,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,165,465,0,1,0,0,0,0,0,0,0,0,0,1,0,0,51,0,100,0,0,0,0,0,"North America"
"Manel Kape","David Dvorak",2021-09-04,"Portugal","Flyweight",65,125,1995-01-03,"Xtreme Couture","Starboy","Southpaw",68,"Decision - Unanimous",3,"5:00","UFC Fight Night: Cannonier vs. Strickland","W",14,21,24,70,6,8,67,136,58,119,49,1,73,39,75,3,3,2,2,0,0,1,0,0,0,0,0,2,2,7,13,0,0,0,0,0,0,0,2,1,0,0,300,900,1,0,0,0,0,0,0,0,0,0,1,0,0,0,48,100,100,0,100,53,0,1,"Europe"
"Michal Oleksiejczuk","Cody Brundage",2021-09-04,"Poland","Middleweight",72,185,1990-05-04,"Ankos MMA","Hussar","Southpaw",74,"KO/TKO",1,"3:16","UFC Fight Night: Cannonier vs. Strickland","W",0,0,0,1,0,0,25,40,15,29,62,0,100,48,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,13,26,0,0,0,0,0,0,0,0,1,0,0,196,196,0,1,0,0,0,0,0,0,0,0,1,0,0,0,51,0,0,0,100,50,0,1,"Europe"
"Jared Cannonier","Sean Strickland",2021-09-04,"USA","Middleweight",71,185,1994-02-10,"MMA Lab","The Killa Gorilla","Orthodox",77,"Decision - Split",5,"5:00","UFC Fight Night: Cannonier vs. Strickland","W",60,88,57,187,24,35,141,310,141,310,45,0,68,30,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,1500,0,0,0,1,0,0,0,0,0,0,0,1,0,0,45,0,0,0,0,0,0,1,"North America"
"Alessandro Costa","Amir Albazi",2021-09-04,"Brazil","Flyweight",64,125,1995-01-24,"Lobo Gym MMA","Nono","Orthodox",67,"KO/TKO",3,"2:13","UFC Fight Night: Cannonier vs. Strickland","L",5,9,6,55,5,6,38,107,17,71,0,0,60,11,83,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,133,733,0,1,0,0,0,0,0,0,0,0,0,0,1,0,23,100,0,0,0,0,0,0,"South America"
"Carlos Prates","Charles Radtke",2021-08-21,"Brazil","Welterweight",73,169,1984-03-16,"Fighting Nerds","The Nightmare","Switch",78,"KO/TKO",1,"4:47","UFC Fight Night: Cannonier vs. Imavov","W",4,10,5,19,6,7,15,36,15,36,41,1,40,26,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,287,287,0,1,0,0,0,0,0,0,0,0,0,0,1,0,41,0,0,0,0,0,0,1,"South America"
"Jared Cannonier","Nassourdine Imavov",2024-06-08,"USA","Middleweight",71,185,1993-08-17,"MMA Lab","The Killa Gorilla","Orthodox",77,"KO/TKO",4,"1:34","UFC Fight Night: Cannonier vs. Imavov","L",7,9,38,74,13,17,102,152,64,109,67,0,82,52,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,94,994,0,1,0,0,0,0,0,0,0,0,0,1,0,0,58,0,0,0,0,0,0,0,"North America"
"Jared Cannonier","Kelvin Gastelum",2024-06-08,"USA","Middleweight",71,185,1984-03-16,"MMA Lab","The Killa Gorilla","Orthodox",77,"Decision - Unanimous",5,"5:00","UFC Fight Night: Cannonier vs. Gastelum","W",19,30,50,161,10,14,91,218,81,207,41,1,64,32,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,1500,1,0,0,0,0,0,0,0,0,0,0,1,0,0,39,0,0,0,0,0,0,1,"North America"
"Tom Aspinall","Serghei Spivac",2022-12-17,"England","Heavyweight",77,251,1986-09-09,"Team Kaobon","No","Orthodox",78,"KO/TKO",1,"2:30","UFC Fight Night: Brunson vs. Till","W",2,2,5,11,0,0,16,26,16,26,61,1,100,55,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,1,0,150,150,0,1,0,0,0,0,0,0,0,0,1,0,0,0,61,100,100,0,0,60,0,1,"Europe"
"Paddy Pimblett","Luigi Vendramini",2022-12-17,"England","Lightweight",70,156,1993-11-14,"Next Generation UK","The Baddy","Orthodox",73,"KO/TKO",1,"4:25","UFC Fight Night: Brunson vs. Till","W",7,8,29,62,10,10,47,81,47,81,58,1,88,47,100,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,265,265,0,1,0,0,0,0,0,0,0,0,1,0,0,0,58,0,0,100,0,0,0,1,"Europe"
"Molly McCann","Ji Yeon Kim",2022-12-17,"England","Women's Featherweight",64,116,1995-02-22,"Next Generation UK","Meatball","Orthodox",62,"Decision - Unanimous",3,"5:00","UFC Fight Night: Brunson vs. Till","W",15,20,110,249,1,1,130,275,127,272,47,0,73,44,100,1,2,0,0,0,0,0,0,2,3,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,1,0,0,0,46,50,0,0,0,0,0,1,"Europe"
"Modestas Bukauskas","Khalil Rountree Jr.",2022-12-17,"Lithuania","Light Heavyweight",75,204,1984-03-16,"Gintas Combat","The Baltic Gladiator","Switch",78,"KO/TKO",2,"2:30","UFC Fight Night: Brunson vs. Till","L",3,3,17,43,2,2,23,49,23,49,46,0,100,41,100,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150,450,0,1,0,0,0,0,0,0,0,0,1,0,0,0,46,0,100,0,0,0,0,0,"Europe"
"Serghei Spivac","Tom Aspinall",2022-12-17,"Moldova","Heavyweight",75,256,1996-01-28,"Polar Bear Team","Polar Bear","Orthodox",78,"KO/TKO",1,"2:30","UFC Fight Night: Brunson vs. Till","L",0,0,0,11,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,150,150,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Europe"
"Bobby Green","Lando Vannata",2019-01-19,"USA","Lightweight",70,154,1988-07-09,"Icon MMA","King","Orthodox",71,"Decision - Unanimous",3,"5:00","UFC Fight Night: Brunson vs. Shahbazyan","W",12,21,49,109,28,30,136,219,115,195,62,1,67,50,93,7,8,4,4,4,4,0,0,3,3,0,100,14,22,14,22,0,0,4,0,0,0,0,4,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,0,1,0,0,58,87,100,100,63,63,0,1,"North America"
"Chris Gutierrez","Cody Durden",2019-01-19,"USA","Bantamweight",69,136,1992-04-20,"FactoryX Muay Thai","El Guapo","Orthodox",67,"Draw",3,"5:00","UFC Fight Night: Brunson vs. Shahbazyan","D",7,13,23,50,29,35,73,116,66,109,62,0,60,48,83,1,1,2,3,0,0,1,0,1,1,0,100,1,1,3,6,0,0,2,1,1,1,0,1,0,1,0,300,900,0,0,0,0,0,1,0,0,0,0,0,1,0,0,60,100,66,0,100,50,0,0,"North America"
"Edmen Shahbazyan","Derek Brunson",2019-01-19,"USA","Middleweight",74,185,1987-10-18,"Glendale Fighting Club","The Golden Boy","Orthodox",74,"KO/TKO",3,"0:26","UFC Fight Night: Brunson vs. Shahbazyan","L",14,18,12,45,0,0,38,75,35,72,50,0,82,34,100,4,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,626,0,1,0,0,0,0,0,0,0,0,0,1,0,0,48,100,100,0,0,0,0,0,"North America"
"Marlon Vera","John Lineker",2017-06-25,"Ecuador","Bantamweight",68,136,1987-12-07,"RVCA","Chito","Switch",70,"Decision - Unanimous",3,"5:00","UFC Fight Night: Brunson vs. Machida","L",8,21,17,62,25,25,50,118,49,117,42,0,42,31,72,2,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,300,900,1,0,0,0,0,0,0,0,0,0,0,0,1,0,41,66,66,0,0,0,0,0,"South America"
"Deiveson Figueiredo","Jarred Brooks",2021-01-20,"Brazil","Bantamweight",65,135,1996-01-03,"Team Figueiredo","Deus da Guerra","Orthodox",68,"Decision - Split",3,"5:00","UFC Fight Night: Brunson vs. Machida","W",4,10,8,30,0,0,22,52,19,48,42,0,59,29,0,6,7,1,1,0,0,0,0,1,4,0,25,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,300,900,0,0,0,1,0,0,0,0,0,0,0,0,1,0,39,85,100,0,0,0,0,1,"South America"
"Tai Tuivasa","Harry Hunsucker",2021-01-20,"Australia","Heavyweight",74,265,1987-12-07,"Lions High Performance Centre","Bam Bam","Southpaw",75,"KO/TKO",1,"0:49","UFC Fight Night: Brunson vs. Holland","W",0,0,5,6,4,4,14,18,14,18,77,1,0,71,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,1,0,0,49,49,0,1,0,0,0,0,0,0,0,0,0,0,0,1,77,0,0,0,0,62,0,1,"Oceania"
"Song Kenan","Max Griffin",2021-01-20,"China","Welterweight",72,170,1987-08-03,"Kill Cliff FC","The Assassin","Orthodox",71,"KO/TKO",1,"2:20","UFC Fight Night: Brunson vs. Holland","L",5,8,5,10,4,6,14,24,14,24,58,0,62,50,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,140,140,0,1,0,0,0,0,0,0,0,1,0,0,0,0,58,0,0,0,0,0,0,0,"Asia"
"Neil Magny","Tim Means",2021-01-20,"USA","Welterweight",75,170,1990-01-15,"Elevation Fight Team","The Haitian Sensation","Orthodox",80,"Decision - Unanimous",3,"5:00","UFC Fight Night: Brown vs. Silva","W",7,7,46,105,4,7,52,105,29,77,49,0,61,27,57,4,5,3,6,0,0,0,0,4,9,0,50,0,0,1,2,0,0,4,4,1,0,0,1,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,0,1,0,0,37,80,50,0,0,50,0,1,"North America"
"Brian Ortega","Thiago Tavares",2015-05-30,"USA","Featherweight",68,145,1988-08-08,"Gracie Jiu-Jitsu","T-City","Orthodox",69,"KO/TKO",3,"4:10","UFC Fight Night: Boetsch vs. Henderson","W",1,3,20,68,1,1,56,117,41,101,47,1,33,40,100,0,0,5,7,0,0,1,0,0,0,0,0,0,0,14,22,0,0,2,0,0,2,0,1,0,1,0,250,850,0,1,0,0,0,0,0,0,0,0,0,1,0,0,40,0,71,0,0,63,0,1,"North America"
"Belal Muhammad","Lyman Good",2024-01-20,"Palestine","Welterweight",71,169,1992-10-15,"Valle Flow Striking","Remember the Name","Orthodox",72,"Decision - Unanimous",3,"5:00","UFC Fight Night: Blaydes vs. Volkov","W",10,12,53,137,10,11,86,176,82,172,48,0,88,40,91,4,4,5,8,0,0,0,0,2,8,0,25,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,1,0,0,0,0,47,100,62,0,100,0,0,1,"Asia"
"Curtis Blaydes","Alexander Volkov",2021-10-23,"USA","Heavyweight",76,256,1992-02-17,"Elevation Fight Team","Razor","Orthodox",80,"Decision - Unanimous",5,"5:00","UFC Fight Night: Blaydes vs. Volkov","W",0,1,24,45,6,6,116,163,69,99,71,0,78,57,93,3,3,2,2,1,1,0,0,14,25,0,56,4,5,8,13,21,23,3,0,1,4,1,0,0,1,0,300,1500,1,0,0,0,0,0,0,0,0,0,0,1,0,0,69,100,100,100,80,61,91,1,"North America"
"Bobby Green","Clay Guida",2021-04-10,"USA","Lightweight",70,154,1994-01-22,"Icon MMA","King","Orthodox",71,"Decision - Unanimous",3,"5:00","UFC Fight Night: Blaydes vs. Volkov","W",14,21,30,87,11,11,90,158,85,150,56,0,82,40,100,13,14,3,4,0,0,0,0,2,3,0,67,9,5,5,5,0,0,0,0,0,0,0,2,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,0,1,0,0,56,92,75,0,180,100,0,1,"North America"
"Arnold Allen","Mads Burnell",2019-07-06,"England","Featherweight",68,145,1994-01-22,"BKK Fighters","Almighty","Southpaw",70,"Decision - Unanimous",3,"5:00","UFC Fight Night: Blaydes vs. Volkov","W",8,14,21,74,0,0,38,101,29,90,37,0,57,28,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,300,900,1,0,0,0,0,0,0,0,0,0,1,0,0,0,32,0,0,0,0,0,0,1,"Europe"
"Elves Brener","Steven Ray",2017-03-17,"Brazil","Lightweight",69,155,1994-01-22,"Team Nogueira","Elfen","Orthodox",73,"Decision - Unanimous",3,"5:00","UFC Fight Night: Blaydes vs. Volkov","W",23,35,27,97,16,21,82,170,69,157,48,0,66,30,76,0,0,3,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,0,0,1,0,43,0,75,0,0,0,0,1,"South America"
"Curtis Blaydes","Francis Ngannou",2021-10-23,"USA","Heavyweight",76,256,1988-05-13,"Elevation Fight Team","Razor","Orthodox",80,"KO/TKO",1,"0:45","UFC Fight Night: Blaydes vs. Ngannou 2","L",0,0,1,7,0,1,1,8,1,8,12,0,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45,45,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,"North America"
"Li Jingliang","David Zawada",2021-10-23,"China","Welterweight",72,170,1989-04-12,"Kill Cliff FC","The Leech","Orthodox",71,"KO/TKO",3,"4:07","UFC Fight Night: Blaydes vs. Ngannou 2","W",10,11,51,165,20,28,97,234,89,222,41,1,91,32,71,0,0,3,12,0,0,0,0,1,2,0,50,0,0,5,6,0,0,2,0,0,0,0,0,0,1,0,247,847,0,1,0,0,0,0,0,0,0,1,0,0,0,0,40,0,25,0,0,83,0,1,"Asia"
"Song Kenan","Alex Morono",2021-10-23,"China","Welterweight",72,170,1995-02-21,"Kill Cliff FC","The Assassin","Orthodox",71,"Decision - Unanimous",3,"5:00","UFC Fight Night: Blaydes vs. Ngannou 2","L",13,26,28,97,12,18,62,153,61,152,40,0,50,33,67,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,1,0,0,0,0,40,0,72,0,0,0,0,0,"Asia"
